developer,avg_metascore,avg_user_score,num_games
Pandemic Studios,72.88888888888889,7.411111036936442,9
Red Storm Entertainment,72.81818181818181,6.318181818181818,11
4J Studios,72.8,7.840000152587891,5
Phoenix Online Studios,72.75,7.274999976158142,4
Slightly Mad Studios,72.75,5.75,8
Ubisoft Paris,72.72727272727273,6.554545445875688,11
Jupiter Corporation,72.72222222222223,7.711111148198445,18
D'Avekki Studios Limited,72.66666666666667,6.166666825612386,3
Turtle Rock Studios,72.66666666666667,5.600000063578288,3
The Game Bakers,72.66666666666667,7.566666762034099,3
Shiro Games,72.66666666666667,7.083333412806193,6
Tripwire Interactive,72.66666666666667,6.266666650772095,6
Arkedo Studio,72.66666666666667,6.699999968210856,3
Limbic Entertainment,72.66666666666667,6.5333333015441895,3
Black Lab Games,72.66666666666667,6.933333237965901,3
Haemimont Games,72.64285714285714,6.757142850330898,14
Mercury Steam,72.625,6.900000035762787,8
Project Aces,72.625,7.087499916553497,8
Shin'en,72.58333333333333,7.491666674613953,12
Wow Entertainment,72.5,6.987500011920929,8
Cave,72.5,7.7500001192092896,4
Examu,72.5,7.774999976158142,4
Ubisoft Sofia,72.5,6.850000023841858,4
Snowblind Studios,72.5,7.616666714350383,6
EA Montreal,72.5,6.0,4
Cing,72.33333333333333,7.933333396911621,3
Twisted Pixel Games,72.33333333333333,6.1166666348775225,6
NeocoreGames,72.27272727272727,6.98181811246005,11
Bullets,72.25,7.549999833106995,4
Reflections Interactive,72.25,6.375,4
Matrix Software,72.2,7.540000057220459,10
Stormregion,72.2,7.639999961853027,5
Paradigm Entertainment,72.125,6.75,8
Gambitious,72.0,7.175000071525574,4
NCSOFT,72.0,6.4399998664855955,5
Kite Games,72.0,6.666666666666667,3
Beamdog,72.0,6.350000023841858,4
Santa Ragione,72.0,5.533333460489909,3
Dejobaan Games,72.0,6.5333333015441895,3
Headstrong Games,72.0,7.3555555873447,9
Marvelous Inc.,71.875,7.487500071525574,8
Tantalus,71.8,7.2000000953674315,5
Aqua Plus,71.8,8.21999979019165,5
Red Thread Games,71.75,7.399999976158142,4
Fast Travel Games,71.75,6.850000023841858,4
WB Games Montreal,71.75,7.150000095367432,4
Cryo Interactive,71.75,6.299999952316284,4
Renegade Kid,71.71428571428571,7.142857142857143,7
Ubisoft Montreal,71.6923076923077,6.90192305124723,52
Opus,71.66666666666667,7.25,6
Vertex Pop,71.66666666666667,7.200000127156575,3
Frontier Developments,71.64285714285714,5.06428570832525,28
KING Art,71.55555555555556,6.544444402058919,9
Ankama Games,71.33333333333333,7.333333333333333,3
CreativeForge Games,71.33333333333333,7.433333396911621,3
Urban Games,71.33333333333333,7.433333237965901,3
Honeyslug Ltd,71.33333333333333,6.366666793823242,3
Ubisoft Toronto,71.33333333333333,5.566666682561238,6
Inc,71.33333333333333,6.7833333015441895,6
Panic Barn Ltd,71.33333333333333,5.433333317438762,3
Vivarium,71.33333333333333,7.3666666348775225,3
Lionhead Studios,71.26666666666667,7.06666669845581,15
SCS Software,71.25,7.725000262260437,4
Rusty Lake,71.25,7.8500001430511475,4
Milkstone Studios,71.25,7.199999809265137,4
Vicarious Visions,71.23076923076923,6.74615385899177,26
Sony Bend,71.16666666666667,7.53333322207133,6
Yuke's,71.125,7.043750032782555,32
Arc System Works,71.125,6.749999988079071,40
Night Dive Studios,71.0,7.3714286259242465,7
Marvelous Entertainment,71.0,7.366666793823242,9
Chime,71.0,7.766666571299235,3
Kheops Studio,71.0,6.825000047683716,8
Nippon Ichi Software,70.8780487804878,7.251219505217017,41
CCP,70.85714285714286,6.514285632542202,7
Piranha Bytes,70.85714285714286,7.214285714285714,7
Next Level Games,70.8,7.779999923706055,5
Avalanche Studios,70.77777777777777,6.266666624281141,9
Flying Wild Hog,70.75,6.912500083446503,8
CyberConnect2,70.66666666666667,7.462500015894572,24
D3T,70.66666666666667,7.3666666348775225,3
Mages.,70.66666666666667,7.766666730244954,3
Nival Interactive,70.66666666666667,7.291666666666667,12
Sonic Team,70.6470588235294,7.317647064433379,34
Digital Eclipse,70.6,6.66857145854405,35
Wanako Studios,70.6,5.600000095367432,5
Tequila Works,70.6,6.980000019073486,5
Ubisoft Quebec,70.54545454545455,5.527272722937844,11
Crawfish Interactive,70.5,6.800000071525574,4
Irem,70.5,7.9750001430511475,4
Phantagram,70.5,6.900000095367432,4
Ludosity Interactive,70.5,6.075000166893005,4
Sega,70.425,7.192499995231628,40
KCEJ,70.36363636363636,7.654545437205922,11
Atomicom,70.33333333333333,6.5,3
Bitmap Bureau,70.33333333333333,6.066666762034099,3
Mouldy Toof Studios,70.33333333333333,6.399999936421712,3
Koei,70.33333333333333,6.958333412806193,12
Spearhead Games,70.33333333333333,6.833333333333333,3
Techland,70.3125,6.624999985098839,16
Broken Rules,70.25,7.074999928474426,4
Starbreeze,70.25,6.225000023841858,4
Sandlot,70.2,7.659999942779541,5
ACE Team,70.18181818181819,6.945454554124312,11
Trion Worlds,70.16666666666667,6.199999928474426,6
Daedalic Entertainment,70.05882352941177,7.023529459448421,17
Milestone S.r.l,70.05405405405405,6.2135135160910115,37
Anchor (Legacy),70.0,7.300000031789144,3
Dovetail Games,70.0,5.440000009536743,5
Arcen Games,70.0,7.314285687037876,7
The Bearded Ladies Consulting,70.0,6.950000047683716,4
Ice-Pick Lodge,70.0,8.080000114440917,5
