publisher,avg_metascore,avg_user_score,gap
Forthright Entertainment,68.0,8.199999809265137,13.999998092651367
Snowed In Studios,53.0,6.699999809265137,13.999998092651367
Purple Ray Studio,63.0,7.699999809265137,13.999998092651367
Omni Systems Limited,63.0,7.699999809265137,13.999998092651367
Performance Designed Products,82.0,6.800000190734863,13.999998092651367
Lightning Rod Games,77.0,6.300000190734863,13.999998092651367
WashBear Studio,70.0,8.399999618530273,13.999996185302734
Pixonauts,70.0,8.399999618530273,13.999996185302734
Destructive Creations,52.25,6.6000001430511475,13.750001430511475
Titus Software,54.75,6.825000047683716,13.500000476837158
Psytec Games Ltd,57.666666666666664,7.099999904632568,13.33333237965902
Red Hook Studios,82.25,6.899999976158142,13.250000238418579
Aruze Corp,73.0,8.600000381469727,13.000003814697266
SoftPlanet,68.0,8.100000381469727,13.000003814697266
Outerloop Games,70.0,5.699999809265137,13.000001907348633
Chillingo,80.0,6.699999809265137,13.000001907348633
Whale Rock Games,60.0,7.300000190734863,13.000001907348633
Convict Games,55.0,4.199999809265137,13.000001907348633
Trendy Entertainment,80.0,6.699999809265137,13.000001907348633
Compulsion Games,65.0,7.800000190734863,13.000001907348633
Cherry Pop Games,60.5,4.7499998807907104,13.000001192092896
Digital Eel,79.0,6.599999904632568,13.000000953674316
Marvelous AQL,79.0,6.599999904632568,13.000000953674316
Grimbart Tales,61.0,7.400000095367432,13.000000953674316
EXOR Studios,64.0,5.099999904632568,13.000000953674316
AwesomeBlade,64.0,5.099999904632568,13.000000953674316
Reverb Triple XP,72.0,5.899999936421712,13.000000635782882
FDG Entertainment,65.0,7.800000031789144,13.000000317891434
Karin Entertainment,68.0,5.5,13.0
Laundry Bear Games,78.0,6.5,13.0
1337 Games,47.0,6.0,13.0
We The Force,38.0,2.5,13.0
Dali Games,62.0,7.5,13.0
Warner Bros. Games,80.5,6.75,13.0
DotEmu,83.0,7.0,13.0
W!Games,78.0,6.5,13.0
Hanako Games,67.0,8.0,13.0
Reverie World Studios,59.5,7.25,13.0
Thermite Games,62.0,7.5,13.0
Ludeme Games,62.0,7.5,13.0
Hermitworks,53.0,4.0,13.0
Keen Software House,68.0,5.5,13.0
Strangely Named Studio,53.0,4.0,13.0
Rain Games,73.0,6.0,13.0
AtomicTorch,55.0,6.799999952316284,12.999999523162842
Cooply Apps,15.0,2.799999952316284,12.999999523162842
Mousechief,75.0,6.200000047683716,12.999999523162842
Wangyuan Shengtang,72.0,5.900000095367432,12.999999046325684
Defrost Games,58.0,7.099999904632568,12.999999046325684
"Thekla, Inc",87.0,7.400000095367432,12.999999046325684
Dan & Gary Games,67.0,5.400000095367432,12.999999046325684
Mass Creation,56.0,4.300000190734863,12.999998092651367
Sonic Boom,44.0,5.699999809265137,12.999998092651367
Dragon Slumber,59.0,7.199999809265137,12.999998092651367
Hidden Path Entertainment,81.0,6.800000190734863,12.999998092651367
com8com1 Software,69.0,8.199999809265137,12.999998092651367
Fullbright,76.0,6.300000190734863,12.999998092651367
YAK,81.0,6.800000190734863,12.999998092651367
NEOPOPCORN Corp,71.0,8.399999618530273,12.999996185302734
Big Ant Studios,65.25,7.800000071525574,12.750000715255737
Hi-Rez Studios,80.33333333333333,6.766666730244954,12.666666030883789
Night Dive Studios,71.0,8.350000143051147,12.500001430511475
Frontier Foundry,71.5,5.8999998569488525,12.500001430511475
2x2 Games,86.0,7.349999904632568,12.500000953674316
Halfbrick Studios,78.25,6.574999928474426,12.500000715255737
Uppercut Games Pty Ltd,58.0,4.549999952316284,12.500000476837158
Funstock,76.5,6.400000095367432,12.499999046325684
dietzribi,74.0,8.600000381469727,12.000003814697266
iRacing.com Motorsport Simulations,79.0,6.699999809265137,12.000001907348633
PT. Lyto Datarindo Fortuna,56.0,6.800000190734863,12.000001907348633
Imageepoch,66.0,7.800000190734863,12.000001907348633
Funselektor Labs Inc.,79.0,6.699999809265137,12.000001907348633
Ratloop Asia Pte Ltd,74.0,6.199999809265137,12.000001907348633
Coconuts Japan,84.0,7.199999809265137,12.000001907348633
Other Kind Games,66.0,7.800000190734863,12.000001907348633
Overseer Games,71.0,8.300000190734863,12.000001907348633
Mega Crit Games,89.0,7.699999809265137,12.000001907348633
Nemoria Entertainment,61.0,7.300000190734863,12.000001907348633
Super Icon,69.0,5.699999809265137,12.000001907348633
Metro3D,61.166666666666664,7.316666762034099,12.000000953674324
BootdiskRevolution,83.0,7.099999904632568,12.000000953674316
Robot Loves Kitty,62.0,7.400000095367432,12.000000953674316
Squanch Games,67.0,7.900000095367432,12.000000953674316
Valiant Entertainment,67.0,7.900000095367432,12.000000953674316
Hitcents,67.0,7.900000095367432,12.000000953674316
Red Storm Entertainment,42.0,5.400000095367432,12.000000953674316
D-Pad Studio,88.0,7.599999904632568,12.000000953674316
Galcon,68.0,5.599999904632568,12.000000953674316
CiB Net Station,50.0,3.799999952316284,12.000000476837158
R8 Games,58.0,7.0,12.0
Atari,77.0,6.5,12.0
Bare Knuckle Development,68.0,8.0,12.0
Playtonic Games,68.0,8.0,12.0
Lego Media,68.0,8.0,12.0
Dinosaur Polo Club,87.0,7.5,12.0
Lionbite Games,68.0,8.0,12.0
Black Pants Studio,77.0,6.5,12.0
Greenheart Games,68.0,8.0,12.0
GrosChevaux,68.0,8.0,12.0
Nabi Studios,53.0,6.5,12.0
Digital Eclipse,69.5,5.75,12.0
Dread Hunger Team,73.0,8.5,12.0
Flying Turtle Software,67.0,5.5,12.0
OverGamez,58.333333333333336,7.0333333015441895,11.999999682108559
Survios,79.2,6.720000076293945,11.99999923706055
FK Digital,61.0,4.900000095367432,11.999999046325684
NetEase Game,71.0,5.900000095367432,11.999999046325684
Abstraction Games,81.0,6.900000095367432,11.999999046325684
Walk Thru Walls Studios,71.0,5.900000095367432,11.999999046325684
Zillion Whales,76.0,6.400000095367432,11.999999046325684
Jagex,76.0,6.400000095367432,11.999999046325684
Invisible Handlebar,78.5,6.650000095367432,11.999999046325684
Duckbridge,76.0,6.400000095367432,11.999999046325684
.400 Software Studios,76.0,6.400000095367432,11.999999046325684
NDA Productions,54.0,6.599999904632568,11.999999046325684
Skonec,59.0,7.099999904632568,11.999999046325684
IMMpress S.L.U.,86.0,7.400000095367432,11.999999046325684
Edelweiss,86.0,7.400000095367432,11.999999046325684
Seven45 Studios,36.0,2.4000000953674316,11.999999046325684
TACS Games,71.0,5.900000095367432,11.999999046325684
Whatboy Games,81.0,6.900000095367432,11.999999046325684
rokapublish,70.0,5.800000190734863,11.999998092651367
Moonana,80.0,6.800000190734863,11.999998092651367
The Dairymen,65.0,5.300000190734863,11.999998092651367
IN|FRAMEZ TECHNOLOGY CORP.,70.0,5.800000190734863,11.999998092651367
CE-Asia,70.0,8.199999809265137,11.999998092651367
Clap Hanz,85.0,7.300000190734863,11.999998092651367
Stunlock Studios,85.0,7.300000190734863,11.999998092651367
PixelNAUTS,72.0,8.399999618530273,11.999996185302734
Global Star Software,51.5,6.340000057220459,11.90000057220459
Double Fine Productions,74.75,6.299999982118607,11.750000178813934
EXNOA LLC,72.0,6.0333333015441895,11.666666984558105
Zen United,65.5,7.700000047683716,11.500000476837158
The Molasses Flood,74.0,6.25,11.5
"Arvore Immersive Experiences, LLC",79.0,6.75,11.5
Mamba Games,54.75,6.624999940395355,11.499999403953552
No More Robots,74.85714285714286,6.342857122421265,11.428571632930215
Starbreeze,73.66666666666667,6.233333269755046,11.333333969116211
Robot Entertainment,82.33333333333333,7.100000063578288,11.333332697550446
Grip Games,71.75,6.049999952316284,11.250000476837158
Asmodee,65.8,5.459999847412109,11.200001525878903
Epic Games,80.2,6.900000095367432,11.199999046325686
Electronic Arts,74.25833333333334,6.309444441066848,11.16388892266486
GSP Software,75.0,8.600000381469727,11.000003814697266
Northway Games,75.0,8.600000381469727,11.000003814697266
NicoplvGames,68.0,5.699999809265137,11.000001907348633
Soft Source Pte Ltd,64.5,7.550000190734863,11.000001907348633
Hook Games,52.0,6.300000190734863,11.000001907348633
