developer,avg_metascore,avg_user_score,num_games
Pathea Games,66.0,7.0333333015441895,3
Slant Six,69.66666666666667,7.03333314259847,3
Harebrained Schemes LLC,76.71428571428571,7.028571333203997,7
Targem Games,59.0,7.025000095367432,4
Daedalic Entertainment,70.05882352941177,7.023529459448421,17
DONTNOD Entertainment,76.7,7.010000085830688,20
Crytek,74.6,7.009999990463257,10
The Farm 51,53.75,7.0000001192092896,4
Criterion Games,76.125,7.0,16
Carbon Studio,67.66666666666667,7.0,3
Disney Interactive Studios,68.33333333333333,7.0,3
Spiral House,73.33333333333333,7.0,3
S2 Games,75.33333333333333,6.99999984105428,3
Bits Studios,56.333333333333336,6.99999984105428,3
Wow Entertainment,72.5,6.987500011920929,8
Compile Heart,64.26086956521739,6.98695653417836,23
Turbine Inc.,80.5,6.983333269755046,6
Argonaut Games,64.83333333333333,6.983333269755046,6
NeocoreGames,72.27272727272727,6.98181811246005,11
Tequila Works,70.6,6.980000019073486,5
Paradox Development,64.75,6.975000023841858,4
Atlus,81.5945945945946,6.972973011635445,37
Arrowhead Game Studios,67.0,6.9666666984558105,3
roll7,82.0,6.9666666984558105,6
SkyBox Labs,75.66666666666667,6.9666666984558105,3
Ska Studios,78.0,6.966666539510091,3
iNiS,66.0,6.966666539510091,3
22nd Century Toys,74.0,6.966666539510091,3
Metalhead Software,82.4,6.959999847412109,5
Koei,70.33333333333333,6.958333412806193,12
Hudson,69.2,6.953333330154419,15
Zerodiv,65.5,6.950000166893005,4
Radical Entertainment,65.5,6.950000107288361,8
The Bearded Ladies Consulting,70.0,6.950000047683716,4
Moss,65.75,6.950000047683716,4
Ninja Theory,77.25,6.949999988079071,8
Silicon Knights,69.5,6.949999928474426,4
Racjin,61.0,6.946153860825759,13
ACE Team,70.18181818181819,6.945454554124312,11
Cardboard Computer,86.0,6.939999961853028,5
Her Interactive,76.0,6.938461597149189,13
10tons,67.75,6.9375,8
High Impact Games,68.0,6.933333237965901,3
Massive Damage,73.66666666666667,6.933333237965901,3
Black Lab Games,72.66666666666667,6.933333237965901,3
Draw Distance,65.0,6.925000071525574,4
TT Games,73.0625,6.925000041723251,16
Choice Provisions,67.8,6.919999980926514,5
Egosoft,64.28571428571429,6.91428576196943,7
Flying Wild Hog,70.75,6.912500083446503,8
Sanzaru Games,65.125,6.912499964237213,8
Ubisoft Montreal,71.6923076923077,6.90192305124723,52
Bullfrog Productions,80.33333333333333,6.900000095367432,3
CI Games,54.0,6.900000095367432,3
Phantagram,70.5,6.900000095367432,4
Mercury Steam,72.625,6.900000035762787,8
Sony Interactive Entertainment,75.42857142857143,6.900000027247837,7
PopCap,77.8125,6.9000000059604645,16
nDreams,69.5,6.899999976158142,4
Brainwash Gang,76.25,6.899999976158142,4
Red Hook Studios,82.25,6.899999976158142,4
Marvelous AQL,65.75,6.899999976158142,4
Chainsawesome Games,65.33333333333333,6.899999936421712,3
Toys for Bob,75.44444444444444,6.888888835906982,9
Spiders,61.0,6.885714326586042,7
Edge of Reality,61.5,6.8833333651224775,6
Owlcat Games,76.75,6.875,4
Infinite Dreams,73.33333333333333,6.8666666348775225,3
syn Sophia,73.66666666666667,6.8666666348775225,3
Dakko Dakko,75.6,6.860000038146973,5
Black Hole Games,67.8,6.859999942779541,5
BioWare,75.12903225806451,6.8516128909203315,31
EA Redwood Shores,74.33333333333333,6.850000063578288,6
Fast Travel Games,71.75,6.850000023841858,4
Nerial,75.0,6.850000023841858,4
Ubisoft Sofia,72.5,6.850000023841858,4
Vertigo Games,67.0,6.849999964237213,8
Konami,68.49333333333334,6.843999993006388,75
EXE Create,55.333333333333336,6.833333492279053,3
Heavy Iron Studios,61.833333333333336,6.833333333333333,6
RLR Training Inc,37.666666666666664,6.833333333333333,3
Spearhead Games,70.33333333333333,6.833333333333333,3
NetherRealm Studios,80.66666666666667,6.833333280351427,9
Three Rings,65.16666666666667,6.833333253860474,6
Purple Lamp Studios,68.66666666666667,6.833333253860474,3
Nihilistic,59.0,6.828571455819266,7
Kadokawa,64.18181818181819,6.827272675254128,11
Digital Reality,65.375,6.825000107288361,8
Other Ocean Interactive,68.5,6.825000047683716,4
Seaven Studio,69.0,6.825000047683716,4
Kheops Studio,71.0,6.825000047683716,8
Artificial Mind and Movement,62.05882352941177,6.82352943981395,17
Big Bad Wolf,67.5,6.816666682561238,6
Spike Chunsoft,67.66666666666667,6.816666662693024,24
Crawfish Interactive,70.5,6.800000071525574,4
Pixelated Milk,68.33333333333333,6.800000031789144,3
Nex Entertainment,64.0,6.8,5
Cinemax,69.25,6.799999952316284,4
FireFly Studios,64.0,6.799999952316284,8
NATSUME ATARI Inc.,62.714285714285715,6.79999988419669,7
Virtual Air Guitar Company,55.333333333333336,6.799999872843425,3
Certain Affinity,76.33333333333333,6.799999872843425,3
Wish Studios,68.33333333333333,6.799999872843425,3
Volition Inc.,74.36842105263158,6.7947368747309635,19
Blitz Games,59.0,6.790909030220726,11
Inc,71.33333333333333,6.7833333015441895,6
Blue Tongue Entertainment,63.0,6.775000035762787,8
Mythic Entertainment,82.75,6.7749998569488525,4
Playful Corp.,68.66666666666667,6.766666730244954,3
Tate Multimedia,67.66666666666667,6.766666730244954,3
Mechanic Arms,44.333333333333336,6.766666730244954,3
Climax Entertainment,61.666666666666664,6.766666730244954,3
Nd Cube,66.66666666666667,6.766666677263048,9
Vblank Entertainment Inc.,77.33333333333333,6.766666571299235,3
Kerberos Productions,60.666666666666664,6.766666571299235,3
LEAP Game Studios,68.66666666666667,6.766666571299235,3
Firesprite,77.33333333333333,6.766666571299235,3
Digital Illusions,74.6923076923077,6.761538468874418,13
Enlight Software,65.28571428571429,6.757142884390695,7
Haemimont Games,72.64285714285714,6.757142850330898,14
Codemasters,77.51515151515152,6.754545457435377,33
Helixe,64.33333333333333,6.750000079472859,6
Climax Studios,65.76923076923077,6.750000055019672,26
Paradigm Entertainment,72.125,6.75,8
Arc System Works,71.125,6.749999988079071,40
SideQuest Studios,74.25,6.7499998807907104,4
Vicarious Visions,71.23076923076923,6.74615385899177,26
indieszero,75.9090909090909,6.745454528115013,11
Namco Bandai Games,67.36666666666666,6.743333379427592,30
Gearbox Software,73.5,6.739285792623248,28
Eclipse Games,61.333333333333336,6.733333428700765,3
Luxoflux,68.83333333333333,6.733333349227905,6
Pendulo Studios,69.66666666666667,6.733333309491475,6
JoWooD Entertainment AG,60.333333333333336,6.733333269755046,6
Mediascape,64.0,6.733333269755046,3
MegaPixel Studio,63.0,6.733333269755046,3
Jutsu Games,68.66666666666667,6.733333269755046,3
Black Forest Games,64.8,6.729999971389771,10
Eurocom,65.38095238095238,6.723809548786709,21
Halfbrick Studios,76.5,6.716666618982951,6
Rebellion,64.5,6.704545454545454,22
tinyBuild,63.25,6.700000166893005,4
